Walk- In Report,,,,,
Business Date,Walk Ins,No Of Transactions,Net Amount,% Conversion,Basket Size
01-01-2023,109,34,79342.75,31.19,2333.61
02-01-2023,80,43,102987.5,53.75,2395.06
03-01-2023,112,34,83984,30.36,2470.12
04-01-2023,65,27,79587.25,41.54,2947.68
05-01-2023,67,23,57332,34.33,2492.70
06-01-2023,82,31,91193.62,37.80,2941.73
07-01-2023,98,30,72692.25,30.61,2423.08
08-01-2023,140,43,119429.55,30.71,2777.43
09-01-2023,25,15,46896,60.00,3126.40
10-01-2023,32,24,67496.5,75.00,2812.35
11-01-2023,34,27,54828,79.41,2030.67
12-01-2023,35,22,48566,62.86,2207.55
13-01-2023,42,23,60309.55,54.76,2622.15
14-01-2023,43,28,62574.71,65.12,2234.81
15-01-2023,60,33,109934,55.00,3331.33
16-01-2023,33,25,79653.5,75.76,3186.14
17-01-2023,38,24,78327,63.16,3263.63
18-01-2023,52,28,71176.2,53.85,2542.01
19-01-2023,26,18,47739.89,69.23,2652.22
20-01-2023,38,21,59756,55.26,2845.52
21-01-2023,45,29,89229.75,64.44,3076.89
22-01-2023,45,30,72380,66.67,2412.67
23-01-2023,22,12,46644,54.55,3887.00
24-01-2023,41,22,68089.5,53.66,3094.98
25-01-2023,34,22,53285,64.71,2422.05
26-01-2023,43,28,113178,65.12,4042.07
27-01-2023,40,25,80591.9,62.50,3223.68
28-01-2023,33,24,61446,72.73,2560.25
29-01-2023,42,23,77112,54.76,3352.70
30-01-2023,34,22,61528,64.71,2796.73
31-01-2023,14,12,24298,85.71,2024.83
01-02-2023,22,12,30471,54.55,2539.25
02-02-2023,17,14,26767.53,82.35,1911.97
03-02-2023,29,18,58021,62.07,3223.39
04-02-2023,47,27,76837.75,57.45,2845.84
05-02-2023,60,34,126838,56.67,3730.53
06-02-2023,13,8,21466,61.54,2683.25
07-02-2023,22,12,46823,54.55,3901.92
08-02-2023,35,19,59866,54.29,3150.84
09-02-2023,28,15,34158.5,53.57,2277.23
10-02-2023,37,24,69820.97,64.86,2909.21
11-02-2023,55,34,78112.75,61.82,2297.43
