Walk- In Report,,,,,
Business Date,Walk Ins,No Of Transactions,Net Amount,% Conversion,Basket Size
01-01-2024,45,26,104378.51,57.78,4014.56
02-01-2024,40,16,58105.45,40,3631.59
03-01-2024,31,27,102885,87.1,3810.56
04-01-2024,28,29,86829.6,103.57,2994.12
05-01-2024,36,27,155679.25,75,5765.9
06-01-2024,39,30,98374.03,76.92,3279.13
07-01-2024,53,50,230016.65,94.34,4600.33
08-01-2024,32,21,64898.1,65.63,3090.39
09-01-2024,28,20,48956.75,71.43,2447.84
10-01-2024,31,25,82720.71,80.65,3308.83
11-01-2024,15,11,36158.5,73.33,3287.14
12-01-2024,35,28,92904.55,80,3318.02
13-01-2024,37,27,93153.89,72.97,3450.14
14-01-2024,57,36,150763.65,63.16,4187.88
15-01-2024,38,29,110440.3,76.32,3808.29
16-01-2024,28,24,64591,85.71,2691.29
17-01-2024,12,7,22347,58.33,3192.43
18-01-2024,50,27,114014.5,54,4222.76
19-01-2024,40,26,86894.25,65,3342.09
20-01-2024,48,28,103930.75,58.33,3711.81
21-01-2024,37,32,145470.6,86.49,4545.96
22-01-2024,22,19,61339.3,86.36,3228.38
23-01-2024,23,20,81577.4,86.96,4078.87
24-01-2024,33,27,84303.65,81.82,3122.36
25-01-2024,23,25,64345,108.7,2573.8
26-01-2024,33,26,86360.15,78.79,3321.54
27-01-2024,51,47,148884.85,92.16,3167.76
28-01-2024,43,39,156202.8,90.7,4005.2
29-01-2024,11,8,37194.6,72.73,4649.33
30-01-2024,11,8,44607.3,72.73,5575.91
31-01-2024,22,15,62400.7,68.18,4160.05
01-02-2024,18,14,58100,77.78,4150
02-02-2024,22,23,58921.99,104.55,2561.83
03-02-2024,41,30,147390.4,73.17,4913.01
04-02-2024,24,23,56422.4,95.83,2453.15
05-02-2024,11,8,30552.25,72.73,3819.03
06-02-2024,23,20,68484.45,86.96,3424.22
07-02-2024,31,26,105525.35,83.87,4058.67
08-02-2024,19,12,45205.55,63.16,3767.13
09-02-2024,25,17,55054.45,68,3238.5
10-02-2024,25,23,80907.7,92,3517.73
11-02-2024,40,25,80217.05,62.5,3208.68
12-02-2024,24,19,54530.8,79.17,2870.04
13-02-2024,19,13,35733.7,68.42,2748.75
14-02-2024,16,12,63788,75,5315.67
15-02-2024,18,16,63762.4,88.89,3985.15
16-02-2024,10,9,14571.18,90,1619.02
17-02-2024,21,20,56601.55,95.24,2830.08
18-02-2024,22,20,65135.05,90.91,3256.75
19-02-2024,10,10,31271.1,100,3127.11
20-02-2024,21,21,57972.55,100,2760.6
21-02-2024,24,22,54455.6,91.67,2475.25
22-02-2024,16,16,49048.7,100,3065.54
23-02-2024,19,22,50633.5,115.79,2301.52
24-02-2024,23,21,69215.65,91.3,3295.98
25-02-2024,20,13,40916.45,65,3147.42
26-02-2024,13,11,17906,84.62,1627.82
27-02-2024,15,11,55112.6,73.33,5010.24
28-02-2024,14,12,48048.5,85.71,4004.04
29-02-2024,15,16,43767.5,106.67,2735.47
01-03-2024,18,15,61980.7,83.33,4132.05
02-03-2024,28,21,43135.1,75,2054.05
03-03-2024,33,32,84408.9,96.97,2637.78
04-03-2024,20,13,37541.65,65,2887.82
05-03-2024,16,14,71522,87.5,5108.71
06-03-2024,21,18,51552.8,85.71,2864.04
07-03-2024,19,16,73481.8,84.21,4592.61
08-03-2024,25,19,65277.7,76,3435.67
09-03-2024,31,31,121724.86,100,3926.61
10-03-2024,33,32,104195.85,96.97,3256.12
11-03-2024,20,18,51180.9,90,2843.38
12-03-2024,17,12,59480.1,70.59,4956.68
13-03-2024,15,17,57966.55,113.33,3409.8
14-03-2024,26,20,84701.15,76.92,4235.06
15-03-2024,17,13,53628.4,76.47,4125.26
16-03-2024,28,21,96458.25,75,4593.25
17-03-2024,31,27,94836.9,87.1,3512.48
18-03-2024,21,14,67569.3,66.67,4826.38
19-03-2024,30,14,52995.8,46.67,3785.41
